"divergence_threshold" "dispersal_scale" "dispersal_shape" "ecology_omega" "seed" "model"
1.74 348 2.504 0.1492 2671 "simu_1"
2.38 220 2.76 0.098 1474 "simu_2"
1.1 476 2.248 0.2004 2174 "simu_3"
1.42 284 2.632 0.0724 533 "simu_4"
2.7 540 2.12 0.1748 1626 "simu_5"
2.06 156 2.376 0.1236 3456 "simu_6"
0.78 412 2.888 0.226 1872 "simu_7"
0.94 252 2.312 0.1876 1531 "simu_8"
2.22 508 2.824 0.0852 1137 "simu_9"
2.86 124 2.568 0.2388 806 "simu_10"
1.58 380 2.056 0.1364 2915 "simu_11"
1.26 188 2.952 0.162 345 "simu_12"
2.54 444 2.44 0.0596 3541 "simu_13"
1.9 316 2.184 0.2132 1755 "simu_14"
0.62 572 2.696 0.1108 2112 "simu_15"
0.7 332 2.856 0.13 2155 "simu_16"
1.98 588 2.344 0.2324 433 "simu_17"
2.62 204 2.088 0.0788 1407 "simu_18"
1.34 460 2.6 0.1812 3825 "simu_19"
1.66 140 2.472 0.1044 1921 "simu_20"
2.94 396 2.984 0.2068 3681 "simu_21"
2.3 268 2.728 0.0532 2400 "simu_22"
1.02 524 2.216 0.1556 141 "simu_23"
0.86 172 2.536 0.2196 2747 "simu_24"
2.14 428 2.024 0.1172 85 "simu_25"
2.78 300 2.28 0.1684 2231 "simu_26"
1.5 556 2.792 0.066 785 "simu_27"
1.18 236 2.152 0.2452 2184 "simu_28"
2.46 492 2.664 0.1428 1724 "simu_29"
1.82 108 2.92 0.194 3535 "simu_30"
0.54 364 2.408 0.0916 3147 "simu_31"
0.58 228 2.616 0.1652 2083 "simu_32"
1.86 484 2.104 0.0628 2742 "simu_33"
2.5 100 2.36 0.2164 359 "simu_34"
1.22 356 2.872 0.114 98 "simu_35"
1.54 164 2.232 0.1908 3571 "simu_36"
2.82 420 2.744 0.0884 466 "simu_37"
2.18 292 3 0.242 3246 "simu_38"
0.9 548 2.488 0.1396 2851 "simu_39"
1.06 132 2.808 0.0756 580 "simu_40"
2.34 388 2.296 0.178 2743 "simu_41"
2.98 260 2.04 0.1268 1670 "simu_42"
1.7 516 2.552 0.2292 2147 "simu_43"
1.38 324 2.424 0.05 3850 "simu_44"
2.66 580 2.936 0.1524 1942 "simu_45"
2.02 196 2.68 0.1012 2281 "simu_46"
0.74 452 2.168 0.2036 364 "simu_47"
0.66 212 2.264 0.2484 2049 "simu_48"
1.94 468 2.776 0.146 2625 "simu_49"
2.58 340 2.52 0.1972 3553 "simu_50"
1.3 596 2.008 0.0948 126 "simu_51"
1.62 276 2.904 0.2228 3503 "simu_52"
2.9 532 2.392 0.1204 724 "simu_53"
2.26 148 2.136 0.1716 3713 "simu_54"
0.98 404 2.648 0.0692 3131 "simu_55"
0.82 308 2.072 0.1076 2500 "simu_56"
2.1 564 2.584 0.21 2064 "simu_57"
2.74 180 2.84 0.0564 3652 "simu_58"
1.46 436 2.328 0.1588 2516 "simu_59"
1.14 116 2.712 0.1332 839 "simu_60"
2.42 372 2.2 0.2356 1239 "simu_61"
1.78 244 2.456 0.082 1447 "simu_62"
0.5 500 2.968 0.1844 2029 "simu_63"
0.52 296 2.448 0.2116 3921 "simu_64"
1.8 552 2.96 0.1092 3526 "simu_65"
2.44 168 2.704 0.1604 1506 "simu_66"
1.16 424 2.192 0.058 979 "simu_67"
1.48 104 2.832 0.2372 1421 "simu_68"
2.76 360 2.32 0.1348 2200 "simu_69"
2.12 232 2.064 0.186 17 "simu_70"
0.84 488 2.576 0.0836 204 "simu_71"
1 200 2.128 0.1476 901 "simu_72"
2.28 456 2.64 0.25 1208 "simu_73"
2.92 328 2.896 0.0964 2965 "simu_74"
1.64 584 2.384 0.1988 548 "simu_75"
1.32 264 2.512 0.122 3022 "simu_76"
2.6 520 2 0.2244 3201 "simu_77"
1.96 136 2.256 0.0708 2888 "simu_78"
0.68 392 2.768 0.1732 1788 "simu_79"
0.76 152 2.672 0.1796 419 "simu_80"
2.04 408 2.16 0.0772 3992 "simu_81"
2.68 280 2.416 0.2308 3093 "simu_82"
1.4 536 2.928 0.1284 1401 "simu_83"
1.72 344 2.032 0.154 3862 "simu_84"
3 600 2.544 0.0516 2918 "simu_85"
2.36 216 2.8 0.2052 3787 "simu_86"
1.08 472 2.288 0.1028 594 "simu_87"
0.92 248 2.992 0.0644 3751 "simu_88"
2.2 504 2.48 0.1668 1752 "simu_89"
2.84 120 2.224 0.1156 362 "simu_90"
1.56 376 2.736 0.218 2197 "simu_91"
1.24 184 2.352 0.09 2648 "simu_92"
2.52 440 2.864 0.1924 732 "simu_93"
1.88 312 2.608 0.1412 1636 "simu_94"
0.6 568 2.096 0.2436 2643 "simu_95"
0.56 160 2.944 0.1188 502 "simu_96"
1.84 416 2.432 0.2212 3182 "simu_97"
2.48 288 2.176 0.0676 3453 "simu_98"
1.2 544 2.688 0.17 938 "simu_99"
1.52 224 2.304 0.1444 144 "simu_100"
